Område,M,C,L,KD,S,V,MP,SD,FI,ÖVR,OGEJ,BLANK,OG,VDT
Blekinge län,18038,7094,4197,5954,32824,5699,3025,26342,351,990,29,1012,61,105616
Dalarnas län,31320,18813,6848,11522,57776,13654,6249,39029,700,2116,59,2141,79,190306
Gotlands län,6822,7075,1539,1699,12254,3704,2037,5226,388,385,13,426,30,41598
Gävleborgs län,28334,16825,7441,9782,63232,15483,5661,36330,592,1733,73,1809,150,187445
Göteborgs kommun,69432,24893,25337,19283,83097,48946,24286,47040,2931,4400,183,2636,196,352660
Hallands län,49630,21960,12444,15415,56021,10498,7690,40392,715,2217,58,1851,97,218988
Jämtlands län,12218,13086,2439,4118,28632,7179,3049,13257,374,871,23,903,47,86196
Jönköpings län,40542,23084,9096,27437,63782,11283,7401,44216,603,2136,50,1956,86,231672
Kalmar län,27733,15774,6038,11583,50178,9851,4645,33075,470,1517,41,1529,56,162490
Kronobergs län,23893,11712,4383,9418,36817,7531,4020,25258,342,1196,27,1129,54,125780
Malmö kommun,37645,11003,10812,7426,56248,23021,10783,32480,1511,2369,80,1423,130,194931
Norrbottens län,21299,11751,5356,7741,69493,17810,4604,26276,696,1652,74,1390,78,168220
Skåne läns norra och östra,40881,13855,8984,13150,50610,8275,5816,58360,623,1948,69,2119,108,204798
Skåne läns södra,60619,19994,17768,13527,55185,13426,12435,55903,1250,2697,51,1935,109,254899
Skåne läns västra,40284,12298,9930,10257,50041,9074,6788,50069,819,1946,36,1686,92,193320
Stockholms kommun,133731,55428,47988,29776,145245,80217,47044,60135,4360,7282,236,3035,383,614860
Stockholms län,212009,69786,56525,56884,187924,56466,39042,124226,3084,9085,258,5033,465,820787
Södermanlands län,37401,13577,7958,10089,57612,12162,6773,35450,642,1785,63,1680,120,185312
Uppsala län,45790,22246,15071,16661,65168,21102,13404,37297,1456,3294,72,1787,96,243444
Värmlands län,30219,17071,8168,11657,62369,12779,6133,33118,750,1702,68,1916,72,186022
Västerbottens län,24139,18078,7038,9376,68197,22696,6925,19571,1087,1730,41,1469,81,180428
Västernorrlands län,22255,16108,5601,8816,64882,13335,4366,25360,688,1590,69,1389,90,164549
Västmanlands län,33122,11539,9448,9969,54287,12181,5108,34740,567,1758,48,1567,109,174443
Västra Götalands läns norra,30794,13809,8124,11347,53328,11029,6349,37391,661,1741,61,1717,64,176415
Västra Götalands läns södra,27197,13760,7624,10445,40234,9213,4891,28221,450,1470,43,1297,73,144918
Västra Götalands läns västra,52958,19932,16757,18724,58966,16607,12166,43848,939,2381,103,2044,95,245520
Västra Götalands läns östra,32569,16533,7662,13837,53888,10106,5425,34501,627,1853,51,1807,88,178947
Örebro län,32470,15254,8888,13520,64646,14775,7189,35499,779,2137,55,1796,92,197100
Östergötlands län,61354,25162,16082,20065,87450,20352,12595,53017,1210,3491,86,2602,141,303607
